id,source,target,source_label,target_label,date,service,poids
link_001,node_mandataire,node_mandataire,Mandataire,Mandataire,2024-06-19,documentation,1
link_002,node_mandataire,node_mrc_06,Mandataire,Avignon,2024-07-11,représentation,1
link_003,node_mandataire,node_mrc_08,Mandataire,La Matanie,2024-09-09,représentation,1
link_004,node_mandataire,node_mrc_01,Mandataire,Communauté maritime des Îles-de-la-Madeleine,2024-09-09,représentation,1
link_005,node_mandataire,node_mrc_01,Mandataire,Communauté maritime des Îles-de-la-Madeleine,2024-09-09,documentation,1
link_006,node_mandataire,node_mrc_07,Mandataire,La Matapédia,2024-09-10,représentation,1
link_007,node_mandataire,node_mrc_11,Mandataire,Les Basques,2024-09-13,représentation,1
link_008,node_mandataire,node_mrc_14,Mandataire,Kamouraska,2024-09-23,représentation,1
link_009,node_mandataire,node_mrc_10,Mandataire,Rimouski-Neigette,2024-09-24,représentation,1
link_010,node_mandataire,node_mrc_14,Mandataire,Kamouraska,2024-09-24,documentation,1
link_011,node_mandataire,node_mrc_14,Mandataire,Kamouraska,2024-09-24,réseautage,1
link_012,node_mandataire,node_mrc_10,Mandataire,Rimouski-Neigette,2024-09-24,représentation,1
link_013,node_mandataire,node_mrc_14,Mandataire,Kamouraska,2024-09-24,réseautage,1
link_014,node_mandataire,node_mrc_14,Mandataire,Kamouraska,2024-09-26,réseautage,1
link_015,node_mrc_14,node_sci_01,Kamouraska,Pascal Bernatchez,2024-09-26,expertise-conseil,1
link_016,node_mandataire,node_mrc_11,Mandataire,Les Basques,2024-10-01,production,1
link_017,node_mandataire,node_mrc_09,Mandataire,La Mitis,2024-10-01,production,1
link_018,node_mrc_09,node_mrc_11,La Mitis,Les Basques,2024-10-01,production,1
link_019,node_mandataire,node_mrc_12,Mandataire,Rivière-du-Loup,2024-10-04,production,1
link_020,node_mandataire,node_mrc_10,Mandataire,Rimouski-Neigette,2024-10-07,expertise-conseil,1
link_021,node_mandataire,node_mrc_07,Mandataire,La Matapédia,2024-11-05,expertise-conseil,1
link_022,node_mandataire,node_mrc_10,Mandataire,Rimouski-Neigette,2024-11-05,réseautage,1
link_023,node_mandataire,node_mrc_07,Mandataire,La Matapédia,2024-11-19,expertise-conseil,1
link_024,node_mandataire,node_mrc_10,Mandataire,Rimouski-Neigette,2025-02-07,réseautage,1
link_025,node_mrc_10,node_sci_02,Rimouski-Neigette,Gwénaëlle Chaillou,2025-02-07,expertise-conseil,1
link_026,node_mandataire,node_sci_05,Mandataire,Dany Dumont,2025-02-07,réseautage,1
link_027,node_mrc_10,node_sci_05,Rimouski-Neigette,Dany Dumont,2025-02-07,expertise-conseil,1
link_028,node_mandataire,node_mrc_07,Mandataire,La Matapédia,2025-03-12,expertise-conseil,1
link_029,node_mandataire,node_mrc_05,Mandataire,Avignon,2025-04-02,représentation,1
link_030,node_mrc_07,node_sci_07,Mandataire,Philippe Kaboré,2025-04-16,expertise-conseil,1
link_031,node_mandataire,node_mrc_07,Mandataire,La Matapédia,2025-05-20,représentation,1
link_032,node_mandataire,node_mrc_10,Mandataire,Rimouski-Neigette,2025-05-20,représentation,1
link_033,node_mandataire,node_mrc_05,Mandataire,Bonaventure,2025-06-04,représentation,1
link_034,node_mandataire,node_mrc_10,Mandataire,Rimouski-Neigette,2025-06-05,représentation,1
link_035,node_mandataire,node_mrc_06,Mandataire,Avignon,2025-06-11,expertise-conseil,1
link_036,node_mandataire,node_mrc_10,Mandataire,Rimouski-Neigette,2025-06-12,représentation,1
link_037,node_mandataire,node_mrc_09,Mandataire,La Mitis,2025-06-12,documentation,1
link_038,node_mandataire,node_mrc_02,Mandataire,Le Rocher-Percé,2025-06-16,réseautage,1
link_039,node_mrc_02,node_sci_01,Le Rocher-Percé,Pascal Bernatchez,2025-06-16,réseautage,1
link_040,node_mandataire,node_mrc_05,Mandataire,Bonaventure,2025-07-16,représentation,1
link_041,node_mandataire,node_mrc_07,Mandataire,La Matapédia,2025-09-04,expertise-conseil,1
